Словоформа,Частота_ipm,Капитализация
организме,12.1,lower
организмов,5.6,lower
организовал,7.9,lower
организовали,5.3,lower
организованной,7.2,lower
организовать,21.6,lower
органов,96.5,lower
органом,14.3,lower
органы,49.9,lower
орден,8.8,lower
ордена,11.7,lower
орденом,6.3,lower
орет,6.3,lower
ориентации,9.1,lower
ориентироваться,6.4,lower
оркестр,16.3,lower
оркестра,11.1,lower
оркестром,6.1,lower
Орлов,12.0,upper
Орлова,7.9,upper
ОРТ,5.4,upper
орудие,6.5,lower
орудий,7.1,lower
орудия,11.1,lower
оружие,49.6,lower
оружием,24.7,lower
оружия,57.2,lower
осведомился,6.8,lower
освещение,6.0,lower
освещения,5.6,lower
освободить,11.7,lower
освободиться,6.1,lower
освобождение,10.4,lower
освобождении,5.0,lower
освобождения,13.5,lower
освоение,7.1,lower
освоения,9.6,lower
освоить,5.3,lower
осени,17.8,lower
осень,16.7,lower
осенью,34.3,lower
Осенью,9.0,upper
оси,12.2,lower
Осип,7.5,upper
осколки,7.0,lower
оскорбление,5.0,lower
осмотр,5.3,lower
осмотра,5.7,lower
осмотрел,8.1,lower
основ,9.4,lower
основа,12.2,lower
основан,5.8,lower
основана,6.4,lower
основание,13.6,lower
основанием,12.4,lower
основании,48.8,lower
оснований,20.8,lower
основания,43.9,lower
основаниям,5.2,lower
основано,5.0,lower
основательно,9.6,lower
основе,124.3,lower
основная,18.3,lower
Основная,10.8,upper
основного,15.2,lower
основное,12.0,lower
основной,43.8,lower
Основной,10.7,upper
основном,95.1,lower
основную,8.4,lower
основные,44.9,lower
Основные,16.7,upper
основным,24.1,lower
Основным,6.2,upper
основными,10.4,lower
Основными,5.8,upper
основных,62.9,lower
основой,15.5,lower
основу,28.3,lower
основы,22.0,lower
особая,12.8,lower
особенно,235.3,lower
Особенно,65.6,upper
особенного,15.9,lower
особенностей,18.6,lower
особенности,47.5,lower
Особенности,6.2,upper
особенность,14.3,lower
особенностью,5.9,lower
особенностями,7.7,lower
особенностях,5.1,lower
особняк,5.6,lower
особо,52.3,lower
Особо,6.0,upper
особого,31.9,lower
особое,25.5,lower
Особое,9.5,upper
особой,30.3,lower
особом,5.4,lower
особую,13.5,lower
особые,12.7,lower
особый,25.8,lower
особым,16.2,lower
особых,20.2,lower
осознал,7.0,lower
осознание,5.3,lower
осознать,7.2,lower
оставалась,18.8,lower
оставались,20.5,lower
оставалось,47.8,lower
Оставалось,5.4,upper
оставался,28.0,lower
оставаться,28.8,lower
оставаясь,7.9,lower
оставив,22.1,lower
оставил,39.3,lower
оставила,14.4,lower
оставили,23.1,lower
оставим,5.0,lower
оставит,5.5,lower
оставить,41.2,lower
оставляет,14.9,lower
оставлял,6.6,lower
оставляли,6.5,lower
оставлять,13.0,lower
оставляют,7.7,lower
оставляя,13.5,lower
оставшиеся,12.2,lower
оставшихся,10.7,lower
оставшуюся,5.1,lower
остается,98.8,lower
Остается,9.4,upper
остаётся,7.2,lower
осталась,51.2,lower
остались,63.1,lower
осталось,91.6,lower
Осталось,5.8,upper
остался,85.6,lower
остального,5.2,lower
остальное,35.5,lower
Остальное,6.4,upper
остальной,6.3,lower
остальном,8.0,lower
остальные,56.7,lower
Остальные,17.4,upper
остальным,11.9,lower
остальными,6.5,lower
остальных,37.4,lower
останавливается,9.9,lower
останавливался,6.4,lower
останавливаться,6.0,lower
останавливаясь,6.6,lower
останется,45.1,lower
остановил,17.2,lower
остановила,5.6,lower
остановилась,21.3,lower
остановили,5.4,lower
остановились,18.5,lower
остановился,51.8,lower
остановить,24.2,lower
остановиться,21.6,lower
остановке,10.4,lower
остановки,13.3,lower
останусь,6.2,lower
останутся,12.8,lower
остатка,5.3,lower
остатками,5.3,lower
остатки,21.8,lower
остатков,6.0,lower
остаток,7.7,lower
остаться,40.4,lower
остаются,29.3,lower
осторожно,61.1,lower
Осторожно,7.1,upper
острая,5.4,lower
остро,19.2,lower
остров,22.3,lower
острова,25.5,lower
островах,5.3,lower
острове,18.3,lower
островов,7.9,lower
Островского,5.0,upper
острое,5.5,lower
острой,9.0,lower
острые,11.2,lower
острый,11.8,lower
острым,9.6,lower
острыми,5.9,lower
острых,7.5,lower
осужденного,6.9,lower
осуществить,16.5,lower
осуществление,11.9,lower
осуществлении,8.3,lower
осуществления,20.0,lower
осуществляет,13.2,lower
осуществляется,38.5,lower
осуществлять,19.5,lower
осуществляться,8.9,lower
осуществляют,7.0,lower
осуществляются,6.4,lower
от,3494.9,lower
От,179.7,upper
ОТ,5.9,upper
отбор,7.0,lower
отбора,9.9,lower
отвезти,5.1,lower
отвел,8.0,lower
отвернулась,6.4,lower
отвернулся,12.3,lower
отверстие,9.2,lower
отверстия,7.3,lower
отвести,7.5,lower
ответ,125.6,lower
Ответ,27.4,upper
ответа,46.7,lower
ответе,5.1,lower
ответил,202.8,lower
ответила,66.7,lower
ответили,15.6,lower
ответит,7.8,lower
ответить,47.4,lower
ответов,14.3,lower
ответом,9.1,lower
ответственности,51.3,lower
ответственность,51.4,lower
ответственностью,6.1,lower
ответственный,7.4,lower
ответственных,6.0,lower
ответчика,6.3,lower
ответы,19.3,lower
отвечает,60.7,lower
отвечал,40.8,lower
отвечала,16.4,lower
отвечали,10.6,lower
отвечать,32.5,lower
отвечаю,13.6,lower
отвечают,12.7,lower
отвечая,8.4,lower
отвечу,5.5,lower
отвращение,6.7,lower
отвращением,5.5,lower
отдавал,7.9,lower
отдавать,16.0,lower
отдавая,5.7,lower
отдает,10.9,lower
отдал,29.3,lower
отдала,9.7,lower
отдали,11.6,lower
отдам,7.4,lower
отдаст,5.4,lower
отдать,37.6,lower
отдают,5.9,lower
отдел,23.9,lower
отдела,43.6,lower
отделаться,5.4,lower
отделе,12.5,lower
отделение,25.7,lower
отделении,14.3,lower
отделений,6.7,lower
отделения,30.0,lower
отделов,6.2,lower
отделом,10.4,lower
отдельная,7.0,lower
отдельно,35.3,lower
отдельного,10.5,lower
отдельной,11.5,lower
отдельности,10.1,lower
отдельную,7.2,lower
отдельные,35.9,lower
отдельный,11.0,lower
отдельным,10.8,lower
отдельными,8.2,lower
отдельных,56.5,lower
отдохнуть,18.1,lower
отдых,15.9,lower
отдыха,32.9,lower
отдыхать,12.7,lower
отеле,7.9,lower
Отелло,7.8,upper
отель,6.9,lower
отеля,8.5,lower
отец,178.9,lower
Отец,62.9,upper
Отечества,6.6,upper
отечественного,14.0,lower
отечественной,21.0,lower
Отечественной,15.6,upper
отечественные,7.8,lower
отечественных,18.3,lower
отказ,22.1,lower
отказа,17.4,lower
отказалась,12.6,lower
отказались,15.0,lower
отказался,38.2,lower
отказать,9.4,lower
отказаться,29.8,lower
отказе,8.0,lower
отказывается,9.7,lower
отказывался,8.6,lower
отказываться,8.8,lower
отказываются,5.4,lower
откинулся,5.6,lower
откликнулся,7.7,lower
отклонения,5.9,lower
откровенно,26.0,lower
откроет,5.5,lower
откроется,6.0,lower
открыв,7.4,lower
открывает,18.9,lower
открывается,15.8,lower
открывал,7.8,lower
открывали,5.0,lower
открывать,14.9,lower
открывают,5.3,lower
открываются,5.5,lower
открывая,9.0,lower
открыл,62.4,lower
открыла,24.1,lower
открылась,16.9,lower
открыли,16.6,lower
открылись,5.5,lower
открылось,5.5,lower
открылся,11.4,lower
открыт,11.7,lower
открыта,8.8,lower
открытая,5.4,lower
открытие,23.7,lower
открытием,6.3,lower
открытии,8.2,lower
открытий,6.2,lower
открытия,24.9,lower
открытки,5.0,lower
открыто,27.3,lower
открытого,11.4,lower
открытое,10.0,lower
открытой,18.2,lower
открытом,10.8,lower
открытую,9.9,lower
открыты,10.1,lower
открытые,9.3,lower
открытый,12.2,lower
открытым,18.9,lower
открытыми,8.1,lower
открытых,12.6,lower
открыть,33.2,lower
откуда,105.5,lower
Откуда,48.2,upper
откуда-то,17.9,lower
отличает,6.4,lower
отличается,34.0,lower
отличалась,6.3,lower
отличались,9.5,lower
отличался,10.2,lower
отличаются,19.1,lower
отличие,79.8,lower
отличить,7.3,lower
отличия,6.7,lower
отличная,5.0,lower
отлично,37.6,lower
Отлично,8.4,upper
отличные,5.7,lower
отличный,9.1,lower
отложил,5.5,lower
отложить,7.4,lower
отмахнулся,7.4,lower
отмене,6.6,lower
отменить,9.5,lower
отмены,8.1,lower
отметил,32.0,lower
отметила,5.4,lower
отметили,8.6,lower
Отметим,7.1,upper
отметим,5.6,lower
отметить,53.5,lower
отметки,6.2,lower
отмечает,13.7,lower
отмечается,8.5,lower
отмечал,7.8,lower
отмечали,8.1,lower
отмечалось,9.0,lower
отмечают,10.1,lower
отмечен,5.2,lower
отмечено,9.2,lower
отмечены,6.0,lower
отнеслись,5.4,lower
отнесся,5.7,lower
отнести,16.9,lower
относилась,5.9,lower
относились,13.4,lower
относился,18.3,lower
относительно,66.0,lower
относитесь,5.7,lower
относится,51.6,lower
относиться,20.5,lower
относятся,38.6,lower
относящиеся,5.0,lower
относящихся,5.2,lower
отношение,87.1,lower
отношением,6.7,lower
отношении,100.6,lower
отношений,90.4,lower
отношению,54.8,lower
отношения,153.7,lower
Отношения,6.7,upper
отношениям,6.6,lower
отношениями,5.1,lower
отношениях,41.5,lower
отношусь,8.3,lower
отныне,12.1,lower
отнюдь,40.7,lower
отнять,6.8,lower
ото,6.8,lower
отобрали,5.9,lower
отобрать,5.1,lower
отовсюду,5.5,lower
отодвинул,5.4,lower
отозвалась,6.5,lower
отозвался,21.6,lower
отойти,7.2,lower
отомстить,5.3,lower
отопления,6.6,lower
оторвать,7.0,lower
оторваться,7.2,lower
отошел,15.2,lower
отошла,6.9,lower
отошли,6.3,lower
отпечаток,5.6,lower
отправил,12.5,lower
отправилась,10.2,lower
отправили,14.6,lower
отправились,17.3,lower
отправился,29.7,lower
отправить,14.9,lower
отправиться,11.8,lower
отправляется,5.5,lower
отправлять,5.2,lower
отпуск,23.2,lower
отпуска,10.5,lower
отпуске,5.2,lower
отпустил,11.3,lower
отпустили,8.3,lower
отпустить,7.5,lower
отражает,13.1,lower
отражается,7.1,lower
отражают,6.0,lower
отражение,17.3,lower
отражения,8.3,lower
отраслей,17.5,lower
отрасли,44.1,lower
отрасль,9.8,lower
отраслях,9.1,lower
отреагировал,5.8,lower
отрезал,7.5,lower
отрицательно,10.5,lower
отрицательные,5.0,lower
отрицать,5.5,lower
отрываясь,7.3,lower
отрывок,5.2,lower
отряд,14.4,lower
отряда,10.9,lower
отряды,5.6,lower
отставке,8.6,lower
отставки,5.8,lower
отставку,13.9,lower
отстаивать,6.3,lower
отступать,5.4,lower
отступил,5.9,lower
отсутствие,61.9,lower
Отсутствие,8.5,upper
отсутствием,13.4,lower
отсутствии,22.0,lower
отсутствия,24.5,lower
отсутствует,18.7,lower
отсутствуют,10.2,lower
отсюда,57.7,lower
Отсюда,27.5,upper
оттенки,5.5,lower
оттенков,5.5,lower
оттенок,8.2,lower
оттого,41.4,lower
Оттого,6.9,upper
оттуда,67.6,lower
Оттуда,8.6,upper
отходит,5.7,lower
отходов,11.7,lower
отца,126.6,lower
Отца,9.1,upper
отце,6.6,lower
отцов,10.6,lower
отцом,34.2,lower
отцу,31.1,lower
отцы,7.8,lower
отчасти,24.3,lower
отчаяние,10.1,lower
отчаянием,5.3,lower
отчаянии,8.4,lower
отчаяния,12.5,lower
отчаянно,16.1,lower
отчего,31.3,lower
Отчего,11.5,upper
отчего-то,8.1,lower
отчество,6.4,lower
отчет,18.0,lower
отчета,8.7,lower
отчетливо,23.8,lower
отчетности,11.9,lower
отчеты,5.2,lower
отъезда,13.0,lower
отъездом,8.9,lower
отыскал,5.0,lower
отыскать,10.7,lower
офис,11.5,lower
офиса,6.5,lower
офисе,7.0,lower
офицер,25.4,lower
офицера,15.1,lower
офицеров,31.4,lower
офицером,5.4,lower
офицеры,19.5,lower
официальная,5.0,lower
официально,27.8,lower
официального,13.0,lower
официальное,6.3,lower
официальной,13.1,lower
официальные,9.0,lower
официальный,10.2,lower
официальным,9.3,lower
официальных,12.5,lower
официант,5.5,lower
Официант,5.1,upper
оформить,7.5,lower
оформление,9.3,lower
оформления,11.2,lower
Ох,28.9,upper
ох,8.3,lower
охватывает,8.5,lower
охлаждения,5.2,lower
охота,14.6,lower
охотник,6.7,lower
охотников,5.4,lower
охотно,27.2,lower
охоту,10.2,lower
охоты,9.8,lower
охрана,12.8,lower
охране,16.3,lower
охранник,8.9,lower
охранника,5.3,lower
охранников,5.2,lower
охраной,8.7,lower
охрану,10.1,lower
охраны,38.9,lower
охранять,5.5,lower
оценивается,8.1,lower
оценивать,9.0,lower
оценил,10.4,lower
оценили,6.2,lower
оценить,26.3,lower
оценка,21.9,lower
Оценка,5.7,upper
оценкам,15.7,lower
оценке,21.7,lower
оценки,52.1,lower
оценку,19.1,lower
оценок,12.9,lower
очевидна,5.6,lower
очевидно,61.3,lower
Очевидно,30.6,upper
очевидным,6.7,lower
очень,1158.8,lower
Очень,126.5,upper
очереди,49.9,lower
очередная,7.5,lower
очередного,16.8,lower
очередное,8.0,lower
очередной,55.9,lower
очередном,5.5,lower
очередную,12.3,lower
очередным,5.2,lower
очередь,147.8,lower
очерк,6.5,lower
очертания,7.8,lower
очистить,6.0,lower
очистки,9.2,lower
очках,14.7,lower
очки,29.7,lower
очков,17.9,lower
очнулся,6.9,lower
очутился,6.8,lower
ошибаюсь,7.0,lower
ошибиться,5.1,lower
ошибка,17.1,lower
ошибке,6.2,lower
ошибки,29.4,lower
ошибкой,5.2,lower
ошибку,14.4,lower
ошибок,20.1,lower
ошибся,13.3,lower
ощупь,6.3,lower
ощутил,16.6,lower
ощутила,5.1,lower
ощутить,6.4,lower
ощущал,13.8,lower
ощущать,7.2,lower
ощущаю,5.1,lower
ощущая,6.9,lower
ощущение,55.0,lower
Ощущение,5.4,upper
ощущением,6.5,lower
ощущений,7.6,lower
ощущения,19.3,lower
П,119.2,upper
п,92.8,lower
Павел,68.5,upper
Павла,22.3,upper
Павлик,5.4,upper
Павлов,5.3,upper
Павлова,5.5,upper
Павлович,20.6,upper
Павловича,6.1,upper
Павловна,16.0,upper
Павлу,5.5,upper
падает,20.5,lower
падал,9.9,lower
падали,10.6,lower
падать,8.6,lower
падают,7.9,lower
падение,12.6,lower
падения,15.9,lower
пакет,30.8,lower
пакета,11.6,lower
пакеты,6.3,lower
пал,6.4,lower
палата,7.1,lower
палате,15.6,lower
палатке,5.3,lower
палатки,9.5,lower
палатку,5.5,lower
палату,11.8,lower
палаты,23.0,lower
палец,29.0,lower
палки,6.2,lower
палкой,8.4,lower
палку,8.1,lower
палочки,5.7,lower
палубе,9.0,lower
палубу,6.1,lower
пальто,45.2,lower
пальца,12.9,lower
пальцами,41.9,lower
пальцах,8.6,lower
пальцев,22.9,lower
пальцем,47.1,lower
пальцы,44.2,lower
памяти,87.2,lower
памятник,21.2,lower
памятника,12.3,lower
памятники,6.9,lower
памятников,8.8,lower
память,70.0,lower
Память,6.4,upper
памятью,8.1,lower
панели,7.7,lower
папа,60.4,lower
Папа,30.0,upper
папаша,5.3,lower
папе,8.8,lower
папиросу,5.8,lower
папки,5.1,lower
папку,11.0,lower
папой,10.0,lower
папу,10.2,lower
папы,13.7,lower
пар,19.0,lower
пара,31.5,lower
парадокс,6.7,lower
параллельно,13.1,lower
Параллельно,5.0,upper
параметрам,5.2,lower
параметров,21.1,lower
параметры,13.7,lower
паре,8.3,lower
парень,61.5,lower
Парень,13.1,upper
Париж,26.3,upper
Парижа,12.4,upper
Париже,35.3,upper
парк,19.0,lower
парка,16.9,lower
парке,12.9,lower
парламент,7.6,lower
парламента,11.4,lower
парламенте,5.2,lower
парламентских,6.7,lower
парней,10.5,lower
парнем,6.4,lower
парни,12.4,lower
парню,5.0,lower
парня,22.1,lower
парой,6.2,lower
паром,5.7,lower
пароход,9.3,lower
партией,9.4,lower
партизан,5.2,lower
партии,136.7,lower
партий,21.2,lower
партийного,7.2,lower
партийной,12.2,lower
партийные,7.1,lower
партийный,6.0,lower
партийных,12.5,lower
партию,28.8,lower
партия,34.3,lower
Партия,5.9,upper
партнер,8.0,lower
партнера,11.9,lower
партнерами,8.1,lower
партнеров,14.1,lower
партнером,6.6,lower
партнерства,5.5,lower
партнеры,7.3,lower
пару,72.2,lower
пары,20.7,lower
паспорт,21.9,lower
паспорта,10.8,lower
паспорте,5.3,lower
пассажиров,19.6,lower
пассажиры,8.5,lower
Пастернак,10.8,upper
Пастернака,13.1,upper
пасть,8.6,lower
Патриарх,8.2,upper
Патриарха,6.5,upper
патронов,6.0,lower
патроны,6.4,lower
пауза,13.1,lower
Пауза,6.6,upper
паузу,12.1,lower
паузы,12.0,lower
пафос,5.2,lower
пахло,18.1,lower
пахнет,19.5,lower
пациента,7.6,lower
пациентов,13.6,lower
пачки,8.4,lower
пачку,14.9,lower
Паша,17.7,upper
Пашка,13.7,upper
ПВО,32.5,upper
певец,7.6,lower
певица,6.6,lower
педагог,6.5,lower
педагогов,5.7,lower
пейзаж,9.1,lower
пел,23.4,lower
пела,13.3,lower
пели,18.2,lower
пение,9.4,lower
пения,5.4,lower
пенсии,20.5,lower
пенсий,6.7,lower
пенсионеров,8.0,lower
пенсионных,7.3,lower
пенсию,17.9,lower
пепел,6.1,lower
пера,6.2,lower
первая,63.8,lower
Первая,32.2,upper
первенство,5.3,lower
первичной,6.3,lower
первого,126.5,lower
Первого,7.8,upper
первое,66.8,lower
Первое,29.3,upper
первой,140.1,lower
Первой,12.9,upper
первом,84.2,lower
первому,19.8,lower
первоначально,8.4,lower
первую,111.1,lower
Первую,6.0,upper
первые,89.3,lower
Первые,22.3,upper
первый,253.4,lower
Первый,63.0,upper
первым,91.7,lower
Первым,21.1,upper
первыми,19.6,lower
первых,89.7,lower
перебил,14.6,lower
перебила,5.8,lower
перевел,13.9,lower
перевели,9.6,lower
перевести,17.9,lower
перевод,19.9,lower
перевода,13.3,lower
переводе,16.2,lower
переводил,5.1,lower
переводить,7.8,lower
переводов,5.7,lower
переводчик,7.0,lower
переводчика,6.0,lower
переводы,6.6,lower
перевозки,10.0,lower
перевозок,10.4,lower
переворот,7.2,lower
переворота,5.5,lower
переглянулись,7.9,lower
переговорах,7.7,lower
переговоров,24.3,lower
переговоры,33.3,lower
перед,561.8,lower
Перед,65.7,upper
передавали,5.9,lower
передавать,9.8,lower
передает,9.2,lower
передается,7.4,lower
передал,20.7,lower
передала,5.9,lower
передали,9.3,lower
переданы,6.0,lower
передать,40.2,lower
передач,10.9,lower
передача,12.4,lower
передаче,16.1,lower
передачи,37.5,lower
передачу,13.7,lower
передают,5.3,lower
передвижения,8.3,lower
переднего,8.9,lower
передней,12.3,lower
переднем,5.2,lower
передние,5.2,lower
передний,5.4,lower
переднюю,5.1,lower
передо,20.3,lower
передовой,8.4,lower
передовых,5.3,lower
переехал,6.5,lower
переехали,5.8,lower
переживает,9.1,lower
переживал,10.0,lower
переживаний,7.2,lower
переживания,10.6,lower
переживать,5.3,lower
пережил,9.6,lower
пережить,11.9,lower
перейти,23.1,lower
перемен,14.0,lower
перемены,14.3,lower
перемещения,7.6,lower
перенес,6.2,lower
перенести,10.3,lower
переносить,5.6,lower
переписи,9.1,lower
переработке,5.2,lower
переработки,11.2,lower
перерыв,9.3,lower
перерыва,9.6,lower
пересмотра,5.4,lower
пересмотреть,5.6,lower
переспросил,12.1,lower
переставая,5.1,lower
перестает,8.8,lower
перестал,30.8,lower
перестала,16.9,lower
перестали,19.7,lower
перестанет,6.3,lower
перестать,5.3,lower
перестройка,5.7,lower
перестройки,14.9,lower
переулке,11.4,lower
переулок,9.4,lower
переход,26.5,lower
перехода,25.7,lower
переходе,11.4,lower
переходит,15.2,lower
переходить,9.7,lower
переходом,5.0,lower
переходят,6.4,lower
перец,6.5,lower
перечень,16.7,lower
перечисленных,6.7,lower
перешел,21.0,lower
перешла,9.9,lower
перешли,14.1,lower
перила,5.0,lower
период,131.5,lower
периода,33.2,lower
периоде,6.3,lower
периодически,11.7,lower
периодом,6.1,lower
периоды,12.0,lower
Перми,10.1,upper
Пермской,8.8,upper
Пермь,5.7,upper
перо,9.0,lower
пером,6.1,lower
персонаж,8.8,lower
персонажа,6.1,lower
персонажей,11.8,lower
персонажи,7.5,lower
персонал,7.7,lower
персонала,15.5,lower
перспектив,7.3,lower
перспектива,8.5,lower
перспективе,16.4,lower
перспективных,7.6,lower
перспективу,9.0,lower
перспективы,24.4,lower
перчатки,8.3,lower
перья,5.2,lower
пес,10.1,lower
песен,19.8,lower
песка,10.3,lower
песке,7.9,lower
песком,7.9,lower
песне,8.2,lower
песней,5.4,lower
песни,63.1,lower
песнь,6.4,lower
песню,29.3,lower
песня,22.4,lower
песнями,5.5,lower
песок,19.5,lower
Петербург,20.0,upper
Петербурга,21.5,upper
Петербурге,23.5,upper
петли,5.4,lower
Петр,61.6,upper
Петра,33.2,upper
Петров,17.9,upper
Петрова,10.4,upper
Петрович,45.8,upper
Петровича,10.1,upper
Петровна,22.2,upper
Петрок,7.1,upper
Петром,5.6,upper
Петру,6.3,upper
петь,27.2,lower
Петька,9.7,upper
Петя,19.6,upper
пехоты,5.8,lower
печали,7.1,lower
печаль,7.9,lower
печально,18.3,lower
печальный,5.6,lower
печатать,9.1,lower
печати,33.9,lower
печатных,5.3,lower
печать,15.6,lower
печени,10.7,lower
печень,6.8,lower
печи,15.7,lower
печке,5.4,lower
печки,8.8,lower
печку,6.0,lower
печь,12.8,lower
пешком,21.3,lower
пещеры,5.3,lower
пианино,7.3,lower
пива,23.4,lower
пиво,23.9,lower
пивом,7.8,lower
пиджак,14.2,lower
пиджака,10.5,lower
пиджаке,6.0,lower
пик,7.7,lower
Пикассо,5.5,upper
пил,31.0,lower
пила,8.6,lower
пили,26.2,lower
пилот,5.8,lower
пилота,5.2,lower
пилотов,5.5,lower
пионеров,5.1,lower
пир,5.0,lower
пирамиды,5.9,lower
пирог,5.3,lower
писал,110.0,lower
писала,23.9,lower
писали,28.6,lower
писателей,38.2,lower
писателем,10.3,lower
писатели,15.6,lower
писатель,42.7,lower
Писатель,7.9,upper
писателю,5.6,lower
писателя,33.4,lower
писать,89.8,lower
писем,28.4,lower
пистолет,29.1,lower
пистолета,11.2,lower
пистолетом,6.5,lower
письма,82.7,lower
Письма,7.7,upper
письмах,10.1,lower
письме,25.8,lower
письменного,6.7,lower
письменной,6.7,lower
письменный,6.4,lower
письменным,5.1,lower
письмо,112.9,lower
Письмо,14.8,upper
письмом,8.8,lower
питание,12.4,lower
питания,25.9,lower
Питер,12.5,upper
Питера,6.3,upper
Питере,9.6,upper
пить,57.7,lower
Пиф,5.5,upper
пишет,76.7,lower
пишете,5.3,lower
пишется,5.9,lower
пишешь,5.7,lower
пиши,6.4,lower
пишу,22.5,lower
пишут,26.9,lower
пища,5.3,lower
пищевой,6.3,lower
пищи,13.9,lower
пищу,12.6,lower
плавание,5.0,lower
плавания,6.6,lower
плавать,7.4,lower
плавно,13.9,lower
плакал,14.3,lower
плакала,17.4,lower
плакали,6.7,lower
плакат,6.2,lower
плакать,16.7,lower
пламенем,5.3,lower
пламени,9.3,lower
пламя,12.0,lower
план,61.7,lower
План,6.9,upper
плана,26.3,lower
планах,13.9,lower
плане,42.8,lower
планете,10.2,lower
планеты,21.6,lower
планирования,9.0,lower
планирует,9.1,lower
планируется,17.0,lower
планов,16.6,lower
планом,7.7,lower
плану,10.9,lower
планы,36.4,lower
пластинка,12.2,lower
пластинки,13.8,lower
пластинку,6.7,lower
плата,11.8,lower
платежей,13.7,lower
платежи,6.7,lower
платил,5.0,lower
платили,8.9,lower
платит,10.1,lower
платить,41.6,lower
платком,9.2,lower
платок,18.0,lower
Платон,9.9,upper
Платона,6.0,upper
Платонов,5.5,upper
плату,11.8,lower
платформе,7.2,lower
платформы,7.5,lower
платы,21.8,lower
платье,42.6,lower
платья,12.8,lower
платят,17.0,lower
плач,6.2,lower
плача,5.8,lower
плачет,15.8,lower
плачу,7.1,lower
плачут,5.2,lower
плачь,5.0,lower
плащ,11.0,lower
плаще,6.2,lower
плевать,8.8,lower
племени,8.3,lower
племя,5.1,lower
племянник,6.0,lower
плен,11.2,lower
пленки,8.6,lower
пленку,8.4,lower
пленных,6.5,lower
плену,6.4,lower
плеч,10.1,lower
плеча,13.6,lower
плечами,59.5,lower
плечах,14.0,lower
плече,10.4,lower
плечи,48.1,lower
плечо,44.4,lower
плечом,12.9,lower
плечу,18.5,lower
плит,5.3,lower
плите,5.2,lower
плиты,10.7,lower
плод,9.0,lower
плодов,6.6,lower
плоды,18.0,lower
плоскости,11.2,lower
плоти,11.0,lower
плотно,22.0,lower
плотной,5.7,lower
плотности,8.6,lower
плотность,7.1,lower
плотный,6.1,lower
плоть,11.3,lower
плохая,9.1,lower
плохие,9.8,lower
плохим,5.3,lower
плохих,5.5,lower
плохо,135.9,lower
Плохо,11.3,upper
плохого,15.3,lower
плохое,12.6,lower
плохой,17.9,lower
площадей,9.4,lower
площади,72.3,lower
площадка,7.4,lower
площадке,21.1,lower
площадки,15.1,lower
площадку,15.0,lower
площадь,39.1,lower
площадью,10.6,lower
плывет,5.3,lower
плыл,5.9,lower
плыли,6.1,lower
плыть,5.4,lower
плюнул,5.6,lower
плюс,32.7,lower
Плюс,9.6,upper
пляж,6.8,lower
пляже,8.8,lower
по,5234.0,lower
По,556.8,upper
ПО,12.2,upper
по-английски,12.7,lower
побег,5.1,lower
побед,7.5,lower
победа,19.6,lower
Победа,6.9,upper
победе,9.4,lower
победил,8.8,lower
победили,5.6,lower
победителей,6.8,lower
победителем,5.8,lower
победителя,5.5,lower
победить,11.3,lower
победой,6.9,lower
победу,25.5,lower
победы,31.1,lower
Победы,10.5,upper
побежал,25.2,lower
побежала,12.9,lower
побежали,10.4,lower
побеждает,5.0,lower
побережье,7.1,lower
побережья,5.4,lower
поблагодарил,6.8,lower
поближе,20.1,lower
поблизости,11.5,lower
побольше,20.8,lower
побывал,13.5,lower
побывали,6.0,lower
побывать,9.7,lower
побыстрее,5.4,lower
побыть,6.3,lower
по-вашему,6.9,lower
поведал,7.4,lower
поведение,33.7,lower
поведением,7.8,lower
поведении,9.5,lower
поведения,43.7,lower
повезет,7.1,lower
повезло,34.9,lower
повел,17.2,lower
повела,7.3,lower
повели,7.0,lower
поверил,21.1,lower
поверила,7.1,lower
поверили,7.8,lower
поверит,5.5,lower
поверить,25.8,lower
повернувшись,5.7,lower
повернул,15.3,lower
повернула,6.4,lower
повернулась,12.5,lower
повернулся,36.2,lower
повернуть,8.1,lower
поверх,19.3,lower
поверхностей,5.0,lower
поверхности,59.7,lower
поверхность,28.8,lower
поверхностью,6.1,lower
поверьте,6.8,lower
Поверьте,5.4,upper
повесил,9.4,lower
повесить,5.8,lower
повествования,5.4,lower
повести,18.4,lower
повестку,5.0,lower
повесть,15.2,lower
по-видимому,27.8,lower
По-видимому,9.3,upper
повлиять,7.3,lower
повод,21.7,lower
повода,6.6,lower
поводом,6.7,lower
поводу,104.2,lower
поворачивается,7.1,lower
поворот,16.4,lower
поворота,10.8,lower
повороте,7.0,lower
поворотом,6.9,lower
повреждения,7.1,lower
повседневной,7.4,lower
повсеместно,6.0,lower
повсюду,16.4,lower
повторил,37.4,lower
повторила,11.6,lower
повторить,14.2,lower
повторяет,9.1,lower
повторяется,5.8,lower
повторял,14.4,lower
повторяла,6.1,lower
повторять,13.2,lower
повторяю,11.8,lower
повторяя,6.3,lower
повысить,15.7,lower
повышает,7.3,lower
повышается,5.7,lower
повышать,5.3,lower
повыше,7.3,lower
повышение,29.7,lower
повышением,5.2,lower
повышении,7.9,lower
повышению,10.0,lower
повышения,30.6,lower
повышенной,10.3,lower
погашения,5.1,lower
погиб,29.4,lower
погибла,6.3,lower
погибли,17.4,lower
погибло,6.2,lower
погибнуть,6.9,lower
погибшего,6.1,lower
